"Access audit log","Erisim denetim kayitlari"
"Accounting synchronization entries","Muhasebe senkronizasyon kayitlari"
"Acentem Takipte","Acentem Takipte"
"Agency and sales hierarchy","Açente ve satis hiyerarsisi"
"Approved amount cannot be greater than estimated amount.","Onaylanan tutar tahmini tutardan büyük olamaz."
"Approved amount cannot be negative.","Onaylanan tutar negatif olamaz."
"Birth Date cannot be in the future.","Dogum tarihi gelecekte olamaz."
"Branch","Brans"
"Change Payload cannot be empty when applying endorsement.","Zeyil uygulanirken degisiklik verisi bos olamaz."
"Change Payload must be a JSON object.","Degisiklik verisi bir JSON nesnesi olmalıdır."
"Claim not found.","Hasar kaydi bulunamadı."
"Claim operations","Hasar operasyonlari"
"Claim payments must be outbound.","Hasar odemeleri cikis yönlü olmalıdır."
"Commission amount cannot be negative.","Komisyon tutari negatif olamaz."
"Communication and Finance","İletişim ve Finans"
"Company Code must be 2-12 chars and contain only A-Z, 0-9, '_' or '-'.","Sirket kodu 2-12 karakter olmali ve sadece A-Z, 0-9, '_' veya '-' icermelidir."
"Company Code must be unique.","Sirket kodu benzersiz olmalıdır."
"Company Name is required.","Sirket adi zorunludur."
"Control Center","Kontrol Merkezi"
"Converted offers must be linked to a policy.","Donusturulmus teklifler bir policeye bağlı olmalıdır."
"Could not generate temporary Tax ID. Please retry.","Gecici TC/VKN uretilemedi. Lütfen tekrar deneyin."
"Customer","Müşteri"
"Customer is required.","Müşteri zorunludur."
"Customer not found: {0}","Müşteri bulunamadı: {0}"
"Customer records","Müşteri kayitlari"
"Due date cannot be later than renewal date.","Vade tarihi yenileme tarihinden sonra olamaz."
"Either Net Premium or Gross Premium must be greater than zero.","Net Prim veya Brüt Prim degerlerinden en az biri sıfırdan büyük olmalıdır."
"Endorsement already applied.","Zeyil zaten uygulanmis."
"Endorsement applied successfully.","Zeyil basariyla uygulandi."
"Estimated Gross Premium cannot be negative.","Tahmini Brüt Prim negatif olamaz."
"Estimated Gross Premium must be greater than zero.","Tahmini Brüt Prim sıfırdan büyük olmalıdır."
"Estimated amount cannot be negative.","Tahmini tutar negatif olamaz."
"First Name is required.","Ad zorunludur."
"Full Name is required.","Ad Soyad zorunludur."
"Gross premium must be greater than zero.","Brüt prim sıfırdan büyük olmalıdır."
"Gross premium must equal Net Premium + Commission Amount + Tax Amount.","Brüt prim, Net Prim + Komisyon Tutarı + Vergi Tutarına esit olmalıdır."
"Home","Ana Sayfa"
"Incident date cannot be later than reported date.","Olay tarihi bildirim tarihinden sonra olamaz."
"Insurance Company","Sigorta Şirketi"
"Insurance Ops","Sigorta Operasyonlari"
"Insurance agency CRM and policy management","Sigorta acentesi CRM ve police yonetimi"
"Insurance branch definitions","Sigorta brans tanimlari"
"Insurance company definitions","Sigorta sirketi tanimlari"
"Issue date cannot be later than start date.","Tanzim tarihi baslangic tarihinden sonra olamaz."
"Lead Email: {0}","Lead E-posta: {0}"
"Lead Name: {0}","Lead Adi: {0}"
"Lead Notes: {0}","Lead Notlari: {0}"
"Lead converted to Offer successfully.","Lead basariyla teklife donusturuldu."
"Lead is already converted to Offer.","Lead zaten teklife donusturulmus."
"Lead is missing required fields: {0}","Lead kaydinda zorunlu alanlar eksik: {0}"
"Lead pipeline","Lead sureci"
"Master Data","Ana Veriler"
"Net premium must be greater than zero after deductions.","Net prim kesintilerden sonra sıfırdan büyük olmalıdır."
"Net premium must be greater than zero for policy conversion.","Poliçe donusumu icin net prim sıfırdan büyük olmalıdır."
"Notification content templates","Bildirim icerik sablonlari"
"Notification delivery queue","Bildirim gonderim kuyrugu"
"Offer board and conversion","Teklif panosu ve donusum"
"Offer converted to Policy successfully.","Teklif basariyla policeye donusturuldu."
"Offer has expired. Update Valid Until date before conversion.","Teklifin gecerlilik süresi dolmus. Donusumden önce Geçerlilik Tarihi alanini güncelleyin."
"Offer is already converted to Policy.","Teklif zaten policeye donusturulmus."
"Offer is missing required fields: {0}","Teklifte zorunlu alanlar eksik: {0}"
"Offer is required.","Teklif zorunludur."
"Offer premium values are inconsistent. Update offer amounts before conversion.","Teklif prim tutarlari tutarsiz. Donusumden önce teklif tutarlarini güncelleyin."
"Offer premium values are missing. Set net or gross premium before conversion.","Teklif prim tutarlari eksik. Donusumden önce net veya brut prim girin."
"Offer status must be Sent or Açcepted before conversion.","Donusum öncesinde teklif durumu Gönderildi veya Kabul Edildi olmalıdır."
"Paid amount cannot be greater than approved amount.","Odenen tutar onaylanan tutardan büyük olamaz."
"Payment amount must be greater than zero.","Ödeme tutari sıfırdan büyük olmalıdır."
"Payment customer must match claim customer.","Ödeme musterisi hasar musterisi ile ayni olmalıdır."
"Payment is marked as paid before due date.","Ödeme vade tarihinden önce ödenmiş olarak isaretlenmis."
"Payment policy must match claim policy.","Ödeme policesi hasar policesi ile ayni olmalıdır."
"Please enter a valid email address.","Lütfen gecerli bir e-posta adresi girin."
"Policy endorsement operations","Poliçe zeyil operasyonları"
"Policy end date cannot be earlier than start date.","Poliçe bitis tarihi baslangic tarihinden önce olamaz."
"Policy lifecycle management","Poliçe yasam dongusu yonetimi"
"Policy not found.","Poliçe bulunamadı."
"Policy number already exists: {0}","Poliçe numarasi zaten mevcut: {0}"
"Premium collections and payouts","Prim tahsilatlari ve odemeler"
"Prepared outbound notifications","Hazırlanan giden bildirimler"
"Recipient is required.","Alici zorunludur."
"Reconciliation work items","Mutabakat is kalemleri"
"Renewal follow-up","Yenileme takibi"
"Sales Entity","Satış Birimi"
"Source Lead: {0}","Kaynak Lead: {0}"
"Start date cannot be later than end date.","Başlangıç tarihi bitis tarihinden sonra olamaz."
"TCMB exchange rate is unavailable. Enter FX Rate manually.","TCMB kur bilgisi kullanilamiyor. Kur degerini manuel girin."
"Tax amount cannot be negative.","Vergi tutari negatif olamaz."
"Tax ID is required.","TC/VKN zorunludur."
"Tax ID must contain only digits and be 10 or 11 characters long.","TC/VKN sadece rakamlardan olusmali ve 10 veya 11 karakter uzunlugunda olmalıdır."
"Unsupported endorsement fields: {0}","Desteklenmeyen zeyil alanlari: {0}"
"Valid until date cannot be earlier than offer date.","Geçerlilik tarihi teklif tarihinden önce olamaz."
"You do not have permission to create customers.","Müşteri oluşturma yetkiniz yok."
"You do not have permission to create offers.","Teklif oluşturma yetkiniz yok."
"Dashboard","Pano"
"Insurance Operations","Sigorta Operasyonlari"
"Customer & Communication","Müşteri ve İletişim"
"Finance & Control","Finans ve Kontrol"
"Leads","Leadler"
"Offers","Teklifler"
"Policies","Poliçeler"
"Claims","Hasarlar"
"Payments","Ödemeler"
"Customers","Müşteriler"
"Renewal Tasks","Yenileme Görevleri"
"Notification Drafts","Bildirim Taslakları"
"Notification Outbox","Giden Bildirimler"
"Notification Templates","Bildirim Şablonları"
"Accounting Entries","Muhasebe Kayıtlari"
"Reconciliation Items","Mutabakat Kalemleri"
"Insurance Companies","Sigorta Sirketleri"
"Branches","Branslar"
"Sales Entities","Satış Birimleri"
"Commission","Komisyon"
"Commission Amount","Komisyon Tutarı"
"Convert Offer","Teklifi Donustur"
"Convert to Offer","Teklife Donustur"
"Convert to Policy","Poliçeye Donustur"
"Create","Oluştur"
"Create Lead","Lead Oluştur"
"Create Offer","Teklif Oluştur"
"Create Policy","Poliçe Oluştur"
"Customer 360","Müşteri 360"
"Duplicate Payment","Ödemeyi Kopyala"
"Navigate","Yönlendir"
"Net Premium","Net Prim"
"New Claim","Yeni Hasar"
"New Customer","Yeni Müşteri"
"New Endorsement","Yeni Zeyil"
"New Lead","Yeni Lead"
"New Offer","Yeni Teklif"
"New Payment","Yeni Ödeme"
"New Policy","Yeni Poliçe"
"New Renewal Task","Yeni Yenileme Görevi"
"Offer created: {0}","Teklif oluşturuldu: {0}"
"Open","Aç"
"Open Claim","Hasari Aç"
"Open claim form","Hasar formunu ac"
"Open Claims Board","Hasar Panosunu Aç"
"Open Customer","Müşteriyi Aç"
"Open Customer 360","Müşteri 360'i Aç"
"Open customer 360 page","Müşteri 360 sayfasini ac"
"Open Dashboard","Panoyu Aç"
"Open Desk","Yönetim Ekranini Aç"
"Open Lead","Leadi Aç"
"Open lead form","Lead formunu ac"
"Open linked offer {0}","Bagli teklifi ac: {0}"
"Open linked policy {0}","Bagli policeyi ac: {0}"
"Open Offer","Teklifi Aç"
"Open Offer Board","Teklif Panosunu Aç"
"Open offer form","Teklif formunu ac"
"Open Offers","Teklifleri Aç"
"Open payment form","Ödeme formunu ac"
"Open Payments Board","Ödeme Panosunu Aç"
"Open Policy","Poliçeyi Aç"
"Open policy form","Poliçe formunu ac"
"Open Policy Workbench","Poliçe Yönetimini Aç"
"Open renewal task form","Yenileme görevi formunu ac"
"Open Renewals Board","Yenileme Panosunu Aç"
"Open Renewals Dashboard","Yenileme Panosunu Aç"
"Open Sales Dashboard","Satış Panosunu Aç"
"Policy created: {0}","Poliçe oluşturuldu: {0}"
"Policy End Date","Poliçe Bitiş Tarihi"
"Policy Number (Optional)","Poliçe Numarası (Opsiyonel)"
"Policy Start Date","Poliçe Başlangıç Tarihi"
"Record","Kaydet"
"Record Claim Payout","Hasar Ödemesi Kaydet"
"Related","İlişkili"
"Tax Amount","Vergi Tutarı"
"View Snapshots","Snapshotlari Görüntüle"
